period,start_date,end_date,total_code_contribution,gross_negative_code_contribution,loss_code_count,top1_loss,top5_loss,top10_loss,top1_loss_share,top5_loss_share,top10_loss_share,worst_code,worst_code_contribution
full_sample,2005-01-01,2025-12-31,5.425773547061199,-2.089698945708261,969,-0.017419988741910683,-0.06844660855455631,-0.11468149229366258,0.008336123620910635,0.03275429156679683,0.05487943252744171,002070,-0.017419988741910683
max_drawdown_window,2008-01-15,2008-11-04,-0.9720699077341051,-1.0513656801441094,213,-0.015131898771708611,-0.06950989329128507,-0.12935637296110328,0.01439261244444892,0.0661139074672453,0.12303651850550473,000923,-0.015131898771708611
worst_12m_window,2007-10-17,2008-10-27,-0.7651780100941095,-0.9111430819189907,198,-0.013601374925342871,-0.06326855239587732,-0.11868590800310941,0.014927814517009265,0.0694386574967185,0.1302604501514085,000791,-0.013601374925342871
ex_2008,2005-01-01,2025-12-31,5.928649471744366,-1.8914821687875547,932,-0.015405365258170519,-0.056520005940307094,-0.10088972680633454,0.008144599781263284,0.029881331620766255,0.053338978538193214,300028,-0.015405365258170519
2008,2008-01-01,2008-12-31,-0.5028759246831667,-0.6958104479595926,179,-0.01412149493175455,-0.05425617649113119,-0.09861402889238008,0.0202950314603132,0.07797551279983364,0.14172542131489643,000923,-0.01412149493175455
2016-2018,2016-01-01,2018-12-31,-0.49810081456805544,-1.0222041574705418,460,-0.014823367594917716,-0.04993453976726986,-0.0859410850319127,0.014501376742194379,0.04884986957090212,0.08407428633882207,300028,-0.014823367594917716
2022-2025,2022-01-01,2025-12-31,0.8479469441498664,-0.5951004104271882,364,-0.009232183628499833,-0.0375870287777796,-0.06686704177166423,0.015513656967355446,0.06316081810596978,0.1123626208284149,301046,-0.009232183628499833
2005-2013,2005-01-01,2013-12-31,2.7111321503269625,-0.8637683228912291,356,-0.013707263656946245,-0.05710112309501035,-0.10048402772600945,0.01586914372023382,0.06610698908693467,0.11633215187802506,000665,-0.013707263656946245
2014-2015,2014-01-01,2015-12-31,1.5412925414183651,-0.1555280079678729,120,-0.006682411819185311,-0.024905861499680784,-0.04100088727394412,0.0429659706087516,0.16013746864696896,0.2636238180483453,300264,-0.006682411819185311
2019-2021,2019-01-01,2021-12-31,0.8235027257340619,-0.4246706341779637,284,-0.012370980886596944,-0.03659059138743974,-0.05839829975526788,0.0291307660359975,0.08616228305559263,0.13751433476983793,002070,-0.012370980886596944
