period,rank,code,contribution
full_sample,1,002070,-0.017419988741910683
full_sample,2,300028,-0.015405365258170519
full_sample,3,000665,-0.013707263656946245
full_sample,4,002856,-0.01157676972337063
full_sample,5,600634,-0.010337221174158232
full_sample,6,000801,-0.009657495553751425
full_sample,7,301046,-0.009232183628499833
full_sample,8,002490,-0.00916969027154114
full_sample,9,300700,-0.009133326367833946
full_sample,10,603655,-0.009042187917479936
full_sample,11,002786,-0.008944584103817344
full_sample,12,600792,-0.008939911450380401
full_sample,13,600490,-0.008884678465575117
full_sample,14,002853,-0.008734400464984539
full_sample,15,300264,-0.00851522201191167
full_sample,16,002785,-0.00833682884471558
full_sample,17,300111,-0.008335102856500277
full_sample,18,002708,-0.008241073135912427
full_sample,19,300094,-0.007992081944854705
full_sample,20,300508,-0.007963806599146837
max_drawdown_window,1,000923,-0.015131898771708611
max_drawdown_window,2,000791,-0.01385771180930511
max_drawdown_window,3,600781,-0.013670407199936596
max_drawdown_window,4,000721,-0.013473832519384943
max_drawdown_window,5,002132,-0.0133760429909498
max_drawdown_window,6,000567,-0.012790141158511159
max_drawdown_window,7,000760,-0.011911778540042566
max_drawdown_window,8,002156,-0.011860557480747993
max_drawdown_window,9,002027,-0.011859506381337422
max_drawdown_window,10,002162,-0.011424496109179057
max_drawdown_window,11,002087,-0.01136975105377667
max_drawdown_window,12,600053,-0.010866425062777641
max_drawdown_window,13,000519,-0.010811035620576576
max_drawdown_window,14,000813,-0.010734290942758446
max_drawdown_window,15,600180,-0.010251764067941508
max_drawdown_window,16,600552,-0.010123312351348576
max_drawdown_window,17,600775,-0.009991504978461697
max_drawdown_window,18,002105,-0.009963020074484897
max_drawdown_window,19,600850,-0.009928742840627896
max_drawdown_window,20,002116,-0.009784344025114298
worst_12m_window,1,000791,-0.013601374925342871
worst_12m_window,2,000721,-0.012759678434078508
worst_12m_window,3,002156,-0.012458477943416906
worst_12m_window,4,000923,-0.01242894377170375
worst_12m_window,5,000760,-0.012020077321335278
worst_12m_window,6,000567,-0.011896688616349583
worst_12m_window,7,002132,-0.01165108190318712
worst_12m_window,8,002162,-0.010982329925632115
worst_12m_window,9,002116,-0.010886126741897205
worst_12m_window,10,000519,-0.010001128420166068
worst_12m_window,11,600775,-0.009991504978461697
worst_12m_window,12,600305,-0.009823101470000824
worst_12m_window,13,002027,-0.009820576643685562
worst_12m_window,14,002115,-0.009798970282307943
worst_12m_window,15,600781,-0.009795351333462059
worst_12m_window,16,000591,-0.009786843095769611
worst_12m_window,17,002105,-0.00965814651493472
worst_12m_window,18,002099,-0.009506248499985806
worst_12m_window,19,000985,-0.009450191691427027
worst_12m_window,20,000801,-0.009442544552455301
ex_2008,1,300028,-0.015405365258170519
ex_2008,2,002856,-0.01157676972337063
ex_2008,3,002070,-0.011135997058724974
ex_2008,4,301046,-0.009232183628499833
ex_2008,5,002490,-0.00916969027154114
ex_2008,6,300700,-0.009133326367833946
ex_2008,7,603655,-0.009042187917479936
ex_2008,8,002786,-0.008944584103817344
ex_2008,9,002853,-0.008734400464984539
ex_2008,10,300264,-0.00851522201191167
ex_2008,11,002785,-0.00833682884471558
ex_2008,12,300111,-0.008335102856500277
ex_2008,13,000665,-0.008252687852858563
ex_2008,14,002708,-0.008241073135912427
ex_2008,15,300094,-0.007992081944854705
ex_2008,16,300508,-0.007963806599146837
ex_2008,17,600262,-0.007868539748443577
ex_2008,18,600695,-0.0078417204482945
ex_2008,19,002591,-0.007818845463148203
ex_2008,20,300494,-0.007753407111927346
2008,1,000923,-0.01412149493175455
2008,2,000791,-0.010832763464135482
2008,3,600775,-0.009991504978461697
2008,4,600781,-0.009867868564324157
2008,5,000801,-0.009442544552455301
2008,6,000721,-0.009245032168300731
2008,7,002156,-0.008977661400397208
2008,8,600792,-0.008821338238765223
2008,9,002098,-0.008697212253426782
