strategy,label,family,period,ann_return,cumulative_return,max_drawdown,worst_12m,observations
baseline_size_10_50_top100,baseline,baseline,full_sample,0.3072190705431266,80.19416675979525,-0.6696619614956734,-0.5935958099734019,5101
baseline_size_10_50_top100,baseline,baseline,ex_2008,0.36007563146069455,154.89096292226267,-0.5674669462437438,-0.4531635687626596,4855
baseline_size_10_50_top100,baseline,baseline,2008,-0.40289866430554544,-0.47916052837338396,-0.6696619614956729,,246
baseline_size_10_50_top100,baseline,baseline,2014-2015,1.2100973967185658,3.1450114377449196,-0.44789728882930346,0.6127969223619181,489
baseline_size_10_50_top100,baseline,baseline,2016-2018,-0.15782751758811864,-0.46296989452564463,-0.5674669462437434,-0.4531635687626596,731
baseline_size_10_50_top100,baseline,baseline,2022-2025,0.24660303630996427,0.9515720625009461,-0.43944585907514344,-0.3397737548347387,969
amount20_ge_20m,amount20 >= 20m,amount,full_sample,0.2407449108720514,27.335996260853953,-0.7036167770101642,-0.6404498446503444,5101
amount20_ge_20m,amount20 >= 20m,amount,ex_2008,0.30721268861535567,72.1721768824144,-0.5989081261368113,-0.4892656215901916,4855
amount20_ge_20m,amount20 >= 20m,amount,2008,-0.5579892607825527,-0.6127490329228683,-0.703616777010164,,246
amount20_ge_20m,amount20 >= 20m,amount,2014-2015,1.1874994895501998,3.052435432174816,-0.4478972888293036,0.5799837868608466,489
amount20_ge_20m,amount20 >= 20m,amount,2016-2018,-0.17656872538056656,-0.49993702547937946,-0.5989081261368105,-0.4892656215901916,731
amount20_ge_20m,amount20 >= 20m,amount,2022-2025,0.23759075185318834,0.8859097516890331,-0.44650425230197077,-0.3667776574876861,969
amount20_ge_50m,amount20 >= 50m,amount,full_sample,0.1388804148670597,4.274287632532054,-0.6789316411852413,-0.6033690933236542,5101
amount20_ge_50m,amount20 >= 50m,amount,ex_2008,0.18787695875580424,10.493683258486,-0.6789316411852411,-0.5430828431051233,4855
amount20_ge_50m,amount20 >= 50m,amount,2008,-0.5047574316974204,-0.5411142351919321,-0.6048414712172747,,246
amount20_ge_50m,amount20 >= 50m,amount,2014-2015,1.0280312430087708,2.4776944488783754,-0.44817392678925594,0.3771489622937012,489
amount20_ge_50m,amount20 >= 50m,amount,2016-2018,-0.23536292287935734,-0.5996029972249846,-0.6569250155434446,-0.5430828431051233,731
amount20_ge_50m,amount20 >= 50m,amount,2022-2025,0.20323860246391456,0.6719537975583891,-0.43819066540917617,-0.3540863298541892,969
amount20_ge_100m,amount20 >= 100m,amount,full_sample,0.038036751859852114,-0.00404301830947551,-0.7718626499583569,-0.5881762392171479,5101
amount20_ge_100m,amount20 >= 100m,amount,ex_2008,0.04608890057474668,0.13158588005843797,-0.771862649958357,-0.5881762392171479,4855
amount20_ge_100m,amount20 >= 100m,amount,2008,-0.10882889394931539,-0.11985736191839869,-0.2089003978591908,,246
amount20_ge_100m,amount20 >= 100m,amount,2014-2015,0.8093147862335874,1.7863429036780776,-0.46438191292533815,0.14512910391220935,489
amount20_ge_100m,amount20 >= 100m,amount,2016-2018,-0.3000534890190827,-0.689171915003661,-0.7173465131208864,-0.5881762392171479,731
amount20_ge_100m,amount20 >= 100m,amount,2022-2025,0.13129101287548428,0.3169502121520673,-0.4218839780010344,-0.35730970377631766,969
amount60_ge_50m,amount60 >= 50m,amount,full_sample,0.16164807798605696,6.930027082017523,-0.6708716690698078,-0.5376654076507332,5101
amount60_ge_50m,amount60 >= 50m,amount,ex_2008,0.2080241767079707,15.122580033081789,-0.6708716690698081,-0.5376654076507332,4855
amount60_ge_50m,amount60 >= 50m,amount,2008,-0.464198114723947,-0.5081415588729616,-0.5883660678232763,,246
amount60_ge_50m,amount60 >= 50m,amount,2014-2015,1.1008144950858116,2.7298306375872703,-0.4481739267892557,0.47329618345102253,489
amount60_ge_50m,amount60 >= 50m,amount,2016-2018,-0.22806306914876895,-0.5870494675507012,-0.6537031782738544,-0.5376654076507332,731
amount60_ge_50m,amount60 >= 50m,amount,2022-2025,0.21653881345425874,0.7424990663810964,-0.4455444093481373,-0.3853359879263154,969
amount20_to_60_ge_050,amount20/60 >= 0.50,decay,full_sample,0.3009087322285515,73.24261835807378,-0.6783219756297136,-0.60545368025888,5101
amount20_to_60_ge_050,amount20/60 >= 0.50,decay,ex_2008,0.35490146519762567,144.80193293528157,-0.5858976674962977,-0.47009081615566883,4855
amount20_to_60_ge_050,amount20/60 >= 0.50,decay,2008,-0.417747686101302,-0.4907981200014122,-0.6783219756297136,,246
amount20_to_60_ge_050,amount20/60 >= 0.50,decay,2014-2015,1.1640569649455403,2.984338127067914,-0.44684046335789673,0.5861037354367566,489
amount20_to_60_ge_050,amount20/60 >= 0.50,decay,2016-2018,-0.16396674433206015,-0.47412335511502,-0.5858976674962972,-0.47009081615566883,731
amount20_to_60_ge_050,amount20/60 >= 0.50,decay,2022-2025,0.24120416052846827,0.9159060021348473,-0.4416350486982883,-0.3557995794725881,969
amount20_to_60_ge_070,amount20/60 >= 0.70,decay,full_sample,0.27497206090932336,48.10066069916324,-0.711581668438665,-0.661030353370159,5101
amount20_to_60_ge_070,amount20/60 >= 0.70,decay,ex_2008,0.33265224762596257,104.75483992236909,-0.5952441283011378,-0.478743796247759,4855
amount20_to_60_ge_070,amount20/60 >= 0.70,decay,2008,-0.46842723664052455,-0.5357124011042289,-0.6973094762043955,,246
amount20_to_60_ge_070,amount20/60 >= 0.70,decay,2014-2015,1.1458717779891163,2.9196792977751422,-0.4396012375891999,0.5792846253848738,489
amount20_to_60_ge_070,amount20/60 >= 0.70,decay,2016-2018,-0.18006288785529545,-0.5045517447545582,-0.5952441283011384,-0.478743796247759,731
amount20_to_60_ge_070,amount20/60 >= 0.70,decay,2022-2025,0.24809966557124197,0.9612687981482655,-0.4385517686356346,-0.3451294190434532,969
no_bar20_eq0,no-bar20 = 0,state,full_sample,0.3043270230957751,76.22764554716852,-0.6812580365217693,-0.6073012845174421,5101
no_bar20_eq0,no-bar20 = 0,state,ex_2008,0.3590265334051652,152.65154422033925,-0.5712429025524122,-0.45467451288005456,4855
no_bar20_eq0,no-bar20 = 0,state,2008,-0.4210042631453088,-0.497384514167831,-0.6812580365217693,,246
no_bar20_eq0,no-bar20 = 0,state,2014-2015,1.159015963041099,2.9684180497317727,-0.4450535282917072,0.5796390848839519,489
no_bar20_eq0,no-bar20 = 0,state,2016-2018,-0.1644579630985512,-0.4746746436440118,-0.5712429025524122,-0.45467451288005456,731
no_bar20_eq0,no-bar20 = 0,state,2022-2025,0.24675528079522646,0.9522370353440015,-0.43944585907514344,-0.3397095283376731,969
no_bar60_le1,no-bar60 <= 1,state,full_sample,0.3026266251050449,74.16873722536954,-0.6757546165065256,-0.6007401831087101,5101
no_bar60_le1,no-bar60 <= 1,state,ex_2008,0.35522548022528566,144.64976749909133,-0.5697676883410112,-0.4478689559608229,4855
no_bar60_le1,no-bar60 <= 1,state,2008,-0.4043700271693468,-0.4839076057856483,-0.6757546165065255,,246
no_bar60_le1,no-bar60 <= 1,state,2014-2015,1.0665390177994887,2.6343907640770237,-0.45745172734904116,0.5003351735190007,489
no_bar60_le1,no-bar60 <= 1,state,2016-2018,-0.154104810126917,-0.4550545208754001,-0.5697676883410113,-0.4478689559608229,731
no_bar60_le1,no-bar60 <= 1,state,2022-2025,0.23891958705493543,0.9052805817765619,-0.43944585907514366,-0.3419796695885633,969
cant_sell20_eq0,cant-sell20 = 0,state,full_sample,0.26711722263491966,46.00604593457595,-0.7410070606416048,-0.662293812534582,5101
