strategy,label,family,avg_removed_names_pct,median_removed_names,median_kept_names,removed_basket_ann_return,removed_basket_max_drawdown,kept_basket_ann_return,kept_basket_max_drawdown,removed_minus_kept_ann,description
baseline_size_10_50_top100,baseline,baseline,0.0,0.0,100.0,,,0.3545612979767745,-0.674387109667939,,No extra execution/liquidity guard.
amount20_ge_20m,amount20 >= 20m,amount,0.3,22.5,77.5,0.5716507344781527,-0.6794236810533519,0.23910340166621924,-0.7470367976840948,0.3325473328119335,20-day average turnover must be at least CNY 20m.
amount20_ge_50m,amount20 >= 50m,amount,0.6426984126984127,69.0,31.0,0.43460308900760825,-0.6738663727540632,0.1059993485477213,-0.9049438667994426,0.32860374045988694,20-day average turnover must be at least CNY 50m.
amount20_ge_100m,amount20 >= 100m,amount,0.8592857142857143,92.0,8.0,0.3872803386017398,-0.6733527336482585,-0.04110893369456403,-0.9542201030062986,0.42838927229630386,20-day average turnover must be at least CNY 100m.
amount60_ge_50m,amount60 >= 50m,amount,0.6125396825396825,62.5,37.5,0.41604440676964205,-0.6743572254602376,0.17987197983660175,-0.7854017309160236,0.2361724269330403,60-day average turnover must be at least CNY 50m.
amount20_to_60_ge_050,amount20/60 >= 0.50,decay,0.09115079365079365,4.0,96.0,0.305494542085347,-0.5634922934387094,0.3452313842469483,-0.683114087051002,-0.03973684216160134,20-day turnover must retain at least 50% of 60-day turnover.
amount20_to_60_ge_070,amount20/60 >= 0.70,decay,0.2646428571428572,21.0,79.0,0.3068531798756746,-0.6890487239994865,0.31596884284659654,-0.7139745107064365,-0.009115662970921923,20-day turnover must retain at least 70% of 60-day turnover.
no_bar20_eq0,no-bar20 = 0,state,0.10226190476190476,5.0,95.0,0.4269365547638364,-0.8284072073432781,0.35074961264932547,-0.6742439570410342,0.07618694211451094,No no-bar day in the past 20 trading days.
no_bar60_le1,no-bar60 <= 1,state,0.11134920634920635,10.0,90.0,0.4778914001996861,-0.8449805989563628,0.34462765647908156,-0.6718688720703967,0.13326374372060457,At most one no-bar day in the past 60 trading days.
cant_sell20_eq0,cant-sell20 = 0,state,0.2116269841269841,13.0,87.0,0.420790927788282,-0.7038991611711978,0.36701086474148537,-0.6417748212999494,0.05378006304679661,No non-sellable day in the past 20 trading days.
limit_down20_eq0,limit-down20 = 0,state,0.13055555555555556,4.0,96.0,0.2836848038527171,-0.7422762322486867,0.32004290408545066,-0.7195854899582868,-0.03635810023273356,No estimated limit-down day in the past 20 trading days.
one_price20_eq0,one-price20 = 0,state,0.025912698412698415,1.5,98.5,0.07012448932698678,-0.9837457197915348,0.35181313860050123,-0.6706859575735975,-0.28168864927351445,No one-price limit day in the past 20 trading days.
guard_loose_v1,guard loose,composite,0.4323015873015873,38.0,62.0,0.48342273627390986,-0.6684327886207764,0.2188851705238175,-0.7437270333445773,0.26453756575009235,"amount20>=20m, amount20/60>=0.50, no-bar20=0, limit-down20<=1."
guard_balanced_v1,guard balanced,composite,0.7159126984126983,75.5,24.5,0.42774871562446126,-0.6752279230090092,0.09023155132331162,-0.917068498444062,0.33751716430114964,"amount20>=50m, amount20/60>=0.60, no-bar20=0, one-price20=0."
guard_strict_v1,guard strict,composite,0.9198412698412699,96.0,4.0,0.3840527037561354,-0.6743871096679395,-0.1386907449123833,-0.9883013437090445,0.5227434486685187,"amount20>=100m, amount20/60>=0.70, no-bar60<=1, limit-down20=0, one-price20=0."
