strategy,regime,ann_return,max_drawdown,observations
size_05_30_top100,2005-2013,0.3651428907410059,-0.6772768424371058,2182
size_05_30_top100,2014-2015,1.306756192130758,-0.49985611841680344,489
size_05_30_top100,2016-2018,-0.1406398986758901,-0.5488170865414045,731
size_05_30_top100,2019-2021,0.32600464450526134,-0.25585959144467474,730
size_05_30_top100,2022-2025,0.22572436058982293,-0.4051436573808477,969
size_10_50_top100,2005-2013,0.3674057242090205,-0.6696619614956734,2182
size_10_50_top100,2014-2015,1.2100973967185658,-0.44789728882930346,489
size_10_50_top100,2016-2018,-0.15782751758811864,-0.5674669462437434,731
size_10_50_top100,2019-2021,0.32858893638839914,-0.25229999093240507,730
size_10_50_top100,2022-2025,0.24660303630996427,-0.43944585907514344,969
