symbol,A_sharpe,A_ret,A_maxdd,A_trades_per_year,B_sharpe,B_ret,B_maxdd,B_trades_per_year
P0,0.7360915927700369,0.1498343909848904,-0.28764682469018366,232.67448233861145,0.8948530228374323,0.18251420859402628,-0.3548786286085839,233.23058769792934
I0,0.8497297375504801,0.16965085844878086,-0.25042022590459,232.11837697929354,0.8278829264658546,0.16593653007245152,-0.26079358613146897,233.34180876979292
HC0,0.7197000639641717,0.14602578734998994,-0.34312963750060976,231.67349269183921,0.7517046504209306,0.15310516718124426,-0.33841190838798363,233.34180876979292
J0,0.4650372971638424,0.0943816558950586,-0.3418464308228988,233.11936662606576,0.6321052054046138,0.12848621957815717,-0.2969887147570318,233.34180876979292
AL0,0.7848318135901846,0.15747658738551282,-0.30689260983518496,221.55237515225335,0.5955102500237316,0.12385277687273893,-0.2753481124032737,224.2216808769793
ZN0,0.36135956661794627,0.07352227257590134,-0.33231041130225225,224.88900730816079,0.5478526992873927,0.11250848778022572,-0.3125726365055317,224.7777862362972
RB0,0.6078491084415867,0.12248541691960098,-0.37097626185159605,231.89593483556638,0.5228775947721259,0.10584243214257677,-0.48208130143536476,233.34180876979292
Y0,0.873001647303812,0.17702961809416182,-0.308961799996345,232.3408191230207,0.5050948807820809,0.10280196293202579,-0.3686404436747278,233.34180876979292
TA0,0.05295165555673287,0.010997905491537228,-0.5665181006444475,232.4520401948843,0.18016186674831378,0.03790033527138198,-0.4189512561900126,233.11936662606576
SC0,0.314763417239422,0.06484320168173921,-0.2986940917434675,218.3517800493479,0.14488922551479846,0.030098562980552794,-0.5044964504044291,217.70805428269298
RU0,0.3780881940925677,0.07671496492017656,-0.3730895288813558,231.56227161997563,0.12148587511505385,0.024728563636278986,-0.5471717682318848,233.23058769792934
M0,0.5728074086025333,0.11701864592676904,-0.31339096536863453,233.23058769792934,0.03629039789537925,0.007471275498357175,-0.5239110301347639,233.23058769792934
SR0,-0.39748072964548764,-0.07982882466424804,-0.5948820071903664,231.00616626065772,0.00628301734767839,0.0012761854862411233,-0.45394640533548913,231.67349269183921
CF0,-0.2568291610414799,-0.053173166422793655,-0.7766167787738152,232.11837697929354,-0.027475991104727513,-0.005824887413654261,-0.6426517469077103,232.3408191230207
CU0,0.3895726813336229,0.08243525538145804,-0.5559105351510438,221.32993300852618,-0.12026683053465675,-0.026003916397936377,-0.6361100128469961,221.7748172959805
AG0,-0.3336022991883902,-0.06617217217696844,-0.6821385858253176,206.20386723507917,-0.4973144427877224,-0.10619582052537516,-0.7942683515193962,233.00814555420217
MA0,-0.39969325370020703,-0.08132396523632691,-0.6593074121402054,233.67547198538367,-0.552843329433552,-0.11274171445879234,-0.7276451625219051,233.34180876979292
C0,-0.8009471073321467,-0.15916934571787053,-0.7940278478704759,223.44313337393422,-0.6693674995116718,-0.1351049305602173,-0.7804114241215379,227.66953410475028
AU0,-0.9813318255924006,-0.19966253322192434,-0.8759114456318142,205.64776187576126,-1.0680804147850897,-0.2251000191910625,-0.9075103663054831,215.8801004872107
