strategy,period,sharpe,ann_ret,ann_vol,max_dd,nav_end,n_days
B&H,IS,0.6588735472230344,0.09115159026310397,0.13834458925735013,-0.20559593755855166,1.6030435523864648,1458
B&H,OOS,0.4580669988475484,0.048119760643549774,0.10504961231569697,-0.12338586065243218,1.1307654370951192,727
B&H,Full,0.5992736183479057,0.07683390599151775,0.12821172773020714,-0.20559593755855166,1.8126662431967915,2185
TSMOM,IS,0.7260932733841912,0.04746590130217404,0.06537163067348627,-0.11590598760323545,1.2998475879937583,1458
TSMOM,OOS,0.6350655837455003,0.04256890245348309,0.06703071862660155,-0.0760118650540712,1.123354991446854,727
TSMOM,Full,0.6954089840453932,0.04583655660514963,0.06591309237695674,-0.12602168019612425,1.460190276092941,2185
Carry,IS,1.1313588231145606,0.06702871319864435,0.05924620184966469,-0.0892143727772915,1.4588109431264127,1458
Carry,OOS,-0.21257800855742748,-0.012752294694888214,0.05998877673860234,-0.0918015501420626,0.9588932198589226,727
Carry,Full,0.6800820809951327,0.040483727963587963,0.05952770863239037,-0.1290322928414076,1.398843922419917,2185
Pool,IS,1.0834704600124836,0.0572473072504092,0.05283698020687117,-0.07630518270943398,1.3814237996539782,1458
Pool,OOS,0.3432437355295634,0.014908303879297438,0.043433578929842974,-0.05376835960680604,1.0411115106347344,727
Pool,Full,0.8647399293789371,0.043160142284368805,0.04991112451042564,-0.08885704015068052,1.4382162188845282,2185
