signal_date,cb_code,score_rank,is_carried
2017-02-10,132006.SH,1,False
2017-02-10,132001.SH,2,False
2017-02-10,110032.SH,3,False
2017-02-10,113009.SH,4,False
2017-02-10,132004.SH,5,False
2017-02-10,128009.SZ,6,False
2017-02-10,132007.SH,7,False
2017-02-10,110033.SH,8,False
2017-02-10,132003.SH,9,False
2017-02-10,110034.SH,10,False
2017-02-10,123001.SZ,11,False
2017-02-10,110035.SH,12,False
2017-02-17,110032.SH,1,True
2017-02-17,132001.SH,3,True
2017-02-17,132004.SH,4,True
2017-02-17,132006.SH,5,True
2017-02-17,128009.SZ,6,True
2017-02-17,110033.SH,7,True
2017-02-17,132003.SH,8,True
2017-02-17,123001.SZ,9,True
2017-02-17,132007.SH,10,True
2017-02-17,110035.SH,12,True
2017-02-17,113009.SH,13,True
2017-02-17,110034.SH,23,True
2017-02-24,120001.SZ,1,False
2017-02-24,110032.SH,2,True
2017-02-24,113009.SH,3,True
2017-02-24,110035.SH,4,True
2017-02-24,132006.SH,6,True
2017-02-24,123001.SZ,8,True
2017-02-24,128009.SZ,9,True
2017-02-24,132001.SH,12,True
2017-02-24,132007.SH,13,True
2017-02-24,132004.SH,16,True
2017-02-24,110033.SH,17,True
2017-02-24,110034.SH,22,True
2017-03-03,113009.SH,1,True
2017-03-03,132006.SH,2,True
2017-03-03,120001.SZ,3,True
2017-03-03,128009.SZ,6,True
2017-03-03,132007.SH,7,True
2017-03-03,110033.SH,9,True
2017-03-03,110035.SH,10,True
2017-03-03,132001.SH,11,True
2017-03-03,110032.SH,13,True
2017-03-03,132004.SH,15,True
2017-03-03,123001.SZ,19,True
2017-03-03,110034.SH,23,True
2017-03-10,113009.SH,1,True
2017-03-10,120001.SZ,2,True
2017-03-10,110035.SH,3,True
2017-03-10,128009.SZ,4,True
2017-03-10,110032.SH,9,True
2017-03-10,132006.SH,11,True
2017-03-10,132001.SH,12,True
2017-03-10,132007.SH,17,True
2017-03-10,110033.SH,18,True
2017-03-10,132004.SH,19,True
2017-03-10,123001.SZ,20,True
2017-03-10,110034.SH,22,True
2017-03-17,110035.SH,1,True
2017-03-17,113009.SH,2,True
2017-03-17,128009.SZ,4,True
2017-03-17,120001.SZ,5,True
2017-03-17,110032.SH,6,True
2017-03-17,132007.SH,12,True
2017-03-17,132006.SH,15,True
2017-03-17,132001.SH,16,True
2017-03-17,110033.SH,18,True
2017-03-17,132004.SH,19,True
2017-03-17,110034.SH,20,True
2017-03-17,123001.SZ,21,True
2017-03-24,128009.SZ,2,True
2017-03-24,110035.SH,3,True
2017-03-24,120001.SZ,4,True
2017-03-24,113009.SH,6,True
2017-03-24,110032.SH,7,True
2017-03-24,132001.SH,9,True
2017-03-24,110033.SH,10,True
2017-03-24,132007.SH,11,True
2017-03-24,132004.SH,14,True
2017-03-24,110034.SH,15,True
2017-03-24,132006.SH,20,True
2017-03-24,123001.SZ,21,True
2017-03-31,128009.SZ,2,True
2017-03-31,110035.SH,3,True
2017-03-31,113009.SH,4,True
2017-03-31,110033.SH,7,True
2017-03-31,110032.SH,8,True
2017-03-31,120001.SZ,9,True
2017-03-31,132001.SH,10,True
2017-03-31,132004.SH,12,True
2017-03-31,132006.SH,17,True
2017-03-31,132007.SH,18,True
2017-03-31,110034.SH,21,True
2017-03-31,123001.SZ,22,True
2017-04-07,110035.SH,3,True
2017-04-07,128009.SZ,5,True
2017-04-07,132004.SH,6,True
2017-04-07,110033.SH,7,True
2017-04-07,132001.SH,9,True
2017-04-07,113009.SH,10,True
2017-04-07,132007.SH,11,True
2017-04-07,110032.SH,15,True
2017-04-07,120001.SZ,17,True
2017-04-07,132006.SH,18,True
2017-04-07,110034.SH,21,True
2017-04-07,123001.SZ,22,True
2017-04-14,128011.SZ,1,False
2017-04-14,132004.SH,3,True
2017-04-14,110033.SH,5,True
2017-04-14,128009.SZ,7,True
2017-04-14,120001.SZ,8,True
2017-04-14,132001.SH,9,True
2017-04-14,110035.SH,11,True
