symbol,base_asset,data_start,data_end,history_days,observed_days,coverage,median_quote_volume_90d,median_trades_90d,passed,failed_reasons
BTCUSDT,BTC,2020-01-01,2026-05-22,2334,2334,1.0,1301237304.5884292,3284027.0,True,
ETHUSDT,ETH,2020-01-01,2026-05-22,2334,2334,1.0,695852870.5397235,3583074.5,True,
SOLUSDT,SOL,2020-08-11,2026-05-22,2111,2111,1.0,242090504.295385,815882.5,True,
XRPUSDT,XRP,2020-01-01,2026-05-22,2334,2334,1.0,136478033.10206002,600016.0,True,
DOGEUSDT,DOGE,2020-01-01,2026-05-22,2334,2334,1.0,79367735.40681499,606899.5,True,
BNBUSDT,BNB,2020-01-01,2026-05-22,2334,2334,1.0,75664954.97023499,816762.0,True,
TRXUSDT,TRX,2020-01-01,2026-05-22,2334,2334,1.0,34784979.21695,78470.5,True,
ADAUSDT,ADA,2020-01-01,2026-05-22,2334,2334,1.0,30231031.81905,115310.5,True,
LINKUSDT,LINK,2020-01-01,2026-05-22,2334,2334,1.0,26171976.9246,64086.0,True,
AVAXUSDT,AVAX,2020-09-22,2026-05-22,2069,2069,1.0,18901734.80805,58373.5,True,
NEARUSDT,NEAR,2020-10-14,2026-05-22,2047,2047,1.0,17564886.238399997,91318.5,True,
LTCUSDT,LTC,2020-01-01,2026-05-22,2334,2334,1.0,16370066.321855,148090.5,True,
AAVEUSDT,AAVE,2020-10-15,2026-05-22,2046,2046,1.0,12796340.969379999,129858.5,True,
UNIUSDT,UNI,2020-09-17,2026-05-22,2074,2074,1.0,10111166.496210001,56565.5,True,
SUIUSDT,SUI,2023-05-03,2026-05-22,1116,1116,1.0,29977514.367365003,213478.5,False,history_days
BCHUSDT,BCH,2020-01-01,2026-05-22,2334,2334,1.0,8375601.1427,55557.0,False,quote_volume_90d
DOTUSDT,DOT,2020-08-18,2026-05-22,2104,2104,1.0,7864036.11783,41940.5,False,quote_volume_90d
FILUSDT,FIL,2020-10-15,2026-05-22,2046,2046,1.0,7772941.023715001,38070.5,False,quote_volume_90d
APTUSDT,APT,2022-10-19,2026-05-22,1312,1312,1.0,7733941.5298,33046.5,False,history_days;quote_volume_90d
XLMUSDT,XLM,2020-01-01,2026-05-22,2334,2334,1.0,7454217.28675,69112.0,False,quote_volume_90d
ARBUSDT,ARB,2023-03-23,2026-05-22,1157,1157,1.0,6012346.4418049995,27706.0,False,history_days;quote_volume_90d
OPUSDT,OP,2022-06-01,2026-05-22,1452,1452,1.0,3322157.4658675,24164.0,False,history_days;quote_volume_90d
ETCUSDT,ETC,2020-01-01,2026-05-22,2334,2334,1.0,2884703.24475,31340.0,False,quote_volume_90d
ATOMUSDT,ATOM,2020-01-01,2026-05-22,2334,2334,1.0,2326318.081255,15316.0,False,quote_volume_90d;trades_90d
