,cash_slots_BTC_ONLY_strategy,cash_slots_BTC_ONLY_buyhold,cash_slots_CORE4_strategy,cash_slots_CORE4_buyhold,cash_slots_POOL12_strategy,cash_slots_POOL12_buyhold,common_sample_BTC_ONLY_strategy,common_sample_BTC_ONLY_buyhold,common_sample_CORE4_strategy,common_sample_CORE4_buyhold,common_sample_POOL12_strategy,common_sample_POOL12_buyhold
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-03,0.0,-0.03267428344468726,0.0,-0.027613387207341744,0.0,-0.020285619170206104,0.0,-0.03267428344468726,,,,
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-09,0.0,-0.01119578881206773,0.0,-0.014773439025159596,0.0,-0.009803007215306025,0.0,-0.01119578881206773,,,,
2020-01-10,0.0,-0.04028765320553107,0.0,-0.03035467640733569,0.0,-0.015591023562276818,0.0,-0.04028765320553107,,,,
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-12,0.0,-0.0218140082889573,0.0,-0.01253275879045146,0.0,-0.005012810598386541,0.0,-0.0218140082889573,,,,
2020-01-13,0.0,-0.0016941379655219801,0.0,0.0,0.0,0.0,0.0,-0.0016941379655219801,,,,
2020-01-14,0.0,-0.010796622945141054,0.0,-0.010329044717553582,0.0,-0.013222331469309623,0.0,-0.010796622945141054,,,,
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-17,0.0,-0.011321982628137661,0.0,-0.015864385857118357,0.0,-0.006940499237130027,0.0,-0.011321982628137661,,,,
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-01-20,0.0,-0.023933577787773497,0.0,-0.023991949757325326,0.0,-0.031859661508399695,0.0,-0.023933577787773497,,,,
2020-01-21,0.0,-0.030593073092924583,0.0,-0.026227890378428764,0.0,-0.028152562007820015,0.0,-0.030593073092924583,,,,
2020-01-22,0.0,-0.020083925120217505,0.0,-0.007709165835091514,0.0,-0.013328085498065745,0.0,-0.020083925120217505,,,,
2020-01-23,0.0,-0.026059187288069996,0.0,-0.015581766612611903,0.0,-0.017728933168133176,0.0,-0.026059187288069996,,,,
2020-01-24,0.0,-0.057270313591898714,0.0,-0.043006314856839256,0.0,-0.051839650461619646,0.0,-0.057270313591898714,,,,
2020-01-25,0.0,-0.05340383551932748,0.0,-0.04208707041766635,0.0,-0.046851325967462665,0.0,-0.05340383551932748,,,,
2020-01-26,0.0,-0.06450635944224914,0.0,-0.05086719801717832,0.0,-0.058807604464254704,0.0,-0.06450635944224914,,,,
