pool,label,symbol
BTC_ONLY,BTC only,BTCUSDT
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,BTCUSDT
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,ETHUSDT
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,SOLUSDT
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,BNBUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,BTCUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,ETHUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,SOLUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,XRPUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,DOGEUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,BNBUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,TRXUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,ADAUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,LINKUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,AVAXUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,NEARUSDT
POOL12_DROP_LTC_AAVE,12 coin pool,UNIUSDT
