pool,label,normalization,normalization_label,return_mode,scale,n_symbols,avg_exposure,symbols,cagr,sharpe,mdd,calmar,vol,final
BTC_ONLY,BTC only,raw,Raw,gross,1.0,1,0.3342542649762889,BTCUSDT,0.3802777338423915,1.2282071566851032,-0.2677827040140419,1.4200981920865605,0.29831737878965126,7.845761035462981
BTC_ONLY,BTC only,raw,Raw,net_cost_model,1.0,1,0.3342542649762889,BTCUSDT,0.36813595255863074,1.1967017953312713,-0.2747523684792006,1.3398827263849393,0.2989511917184359,7.414952368417968
BTC_ONLY,BTC only,same_exposure,Same exposure,gross,0.5933522486565711,1,0.19833051974673038,BTCUSDT,0.2236749942798597,1.2282071566851032,-0.16515152082728146,1.3543623041399855,0.17700728751817366,3.6336442280193793
BTC_ONLY,BTC only,same_exposure,Same exposure,net_cost_model,0.5933522486565711,1,0.19833051974673038,BTCUSDT,0.2173349224735026,1.1967017953312709,-0.1698353401073469,1.2796802028136953,0.1773833618446957,3.5149772482181274
BTC_ONLY,BTC only,same_vol,Same vol,gross,0.7166917768625691,1,0.2395572830897485,BTCUSDT,0.2711437885880652,1.2282071566851034,-0.19719394857165995,1.3750106965860163,0.21380161227373923,4.634357737595042
BTC_ONLY,BTC only,same_vol,Same vol,net_cost_model,0.7166917768625691,1,0.2395572830897485,BTCUSDT,0.26317124927134583,1.1967017953312713,-0.20264505964778157,1.2986808053883236,0.21425586078786843,4.451684221069614
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,raw,Raw,gross,1.0,4,0.26185023705255184,"BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT",0.4785795596125144,1.6322580336433512,-0.2676392028048973,1.7881519396147199,0.26013180457058166,12.178956626939472
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,raw,Raw,net_cost_model,1.0,4,0.26185023705255184,"BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT",0.46771241216849124,1.6013059950922217,-0.2761971107894765,1.6934008137579393,0.2606366035955332,11.618031161173482
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,same_exposure,Same exposure,gross,0.7574196685066455,4,0.19833051974673035,"BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT",0.35305199357897776,1.6322580336433514,-0.20767403127341333,1.700029567559013,0.19702894518588548,6.907699079089387
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,same_exposure,Same exposure,net_cost_model,0.7574196685066455,4,0.19833051974673035,"BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT",0.34554680379682656,1.6013059950922222,-0.21467821625114614,1.6096034792490583,0.19741128989602671,6.666424041837844
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,same_vol,Same vol,gross,0.8218972402343382,4,0.2152139871881996,"BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT",0.38586761352319754,1.6322580336433512,-0.2239225675134623,1.7232189582677908,0.21380161227373928,8.051083613030265
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,same_vol,Same vol,net_cost_model,0.8218972402343382,4,0.2152139871881996,"BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT",0.37751812279107666,1.6013059950922217,-0.23136950779931598,1.6316675709857422,0.2142165051992199,7.746037407485659
POOL12_DROP_LTC_AAVE,12 coin pool,raw,Raw,gross,1.0,12,0.19833051974673038,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, UNIUSDT",0.44320758754379197,1.8224768241576559,-0.24097255161531494,1.8392451114155195,0.21380161227373926,10.432653668574654
POOL12_DROP_LTC_AAVE,12 coin pool,raw,Raw,net_cost_model,1.0,12,0.19833051974673038,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, UNIUSDT",0.4345402717753819,1.7920712712705398,-0.2490651218413461,1.7446853600488592,0.2141030980420274,10.03860846923717
POOL12_DROP_LTC_AAVE,12 coin pool,same_exposure,Same exposure,gross,1.0,12,0.19833051974673038,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, UNIUSDT",0.44320758754379197,1.8224768241576559,-0.24097255161531494,1.8392451114155195,0.21380161227373926,10.432653668574654
POOL12_DROP_LTC_AAVE,12 coin pool,same_exposure,Same exposure,net_cost_model,1.0,12,0.19833051974673038,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, UNIUSDT",0.4345402717753819,1.7920712712705398,-0.2490651218413461,1.7446853600488592,0.2141030980420274,10.03860846923717
POOL12_DROP_LTC_AAVE,12 coin pool,same_vol,Same vol,gross,1.0,12,0.19833051974673038,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, UNIUSDT",0.44320758754379197,1.8224768241576559,-0.24097255161531494,1.8392451114155195,0.21380161227373926,10.432653668574654
POOL12_DROP_LTC_AAVE,12 coin pool,same_vol,Same vol,net_cost_model,1.0,12,0.19833051974673038,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, UNIUSDT",0.4345402717753819,1.7920712712705398,-0.2490651218413461,1.7446853600488592,0.2141030980420274,10.03860846923717
