pool,n_symbols,avg_exposure,symbols,mode,cagr,sharpe,mdd,calmar,vol,final,removed,delta_cagr,delta_sharpe,delta_mdd,delta_calmar,delta_final
DOGEUSDT,13,0.19709677437341558,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.37789170160280383,1.6326508980551007,-0.2244479812243535,1.6836493674009534,0.20978942825755098,7.759474456759821,DOGEUSDT,0.004064858856258846,0.009397002282744316,0.025172845039430847,0.18607062630862492,0.1451549334660438
XRPUSDT,13,0.19424184959829807,"BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3702328887577997,1.6216011028802855,-0.22128788579350323,1.673082498078028,0.20748856087242717,7.487894930731114,XRPUSDT,-0.003593953988745291,-0.0016527928920708757,0.02833294047028112,0.17550375698569942,-0.12642459256266303
AAVEUSDT,13,0.19667173783890324,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, UNIUSDT",gross,0.39743116525294364,1.6811491289279732,-0.24015716997596115,1.65487944954017,0.21245507211100778,8.49024496045845,AAVEUSDT,0.023604322506398656,0.05789523315561684,0.009463656287823197,0.1573007084478415,0.8759254371646721
LTCUSDT,13,0.194843830752718,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, AAVEUSDT, UNIUSDT",gross,0.41339185332687967,1.7497729846752248,-0.2510853575176334,1.6464195977571001,0.21033993244288526,9.129468638129705,LTCUSDT,0.03956501058033468,0.12651908890286845,-0.001464531253849044,0.14884085666477165,1.5151491148359275
LINKUSDT,13,0.19581255291305852,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3779046369514354,1.6216305524952208,-0.24557650885352778,1.538846849463251,0.2114320357399759,7.759940073115286,LINKUSDT,0.004077794204890406,-0.001623343277135536,0.00404431741025657,0.04126810837092254,0.1456205498215084
UNIUSDT,13,0.19848999830534922,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT",gross,0.3780629535987803,1.6154173994529453,-0.2543753122913238,1.4862407448007493,0.21246039782856932,7.765640694378282,UNIUSDT,0.0042361108522352975,-0.00783649631941108,-0.004754486027539473,-0.011337996291579167,0.15132117108450505
ETHUSDT,13,0.18853340753505166,"BTCUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.36783127420516215,1.6099999276099104,-0.24774779019237336,1.4847005251572387,0.20794184005965305,7.4044040833963125,ETHUSDT,-0.005995568541382834,-0.01325396816244595,0.0018730360714109828,-0.012878215935089754,-0.20991543989746475
SOLUSDT,13,0.19642656361345942,"BTCUSDT, ETHUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3624375928859058,1.5503782629300809,-0.24593044066685588,1.4737402653495577,0.21427618083335465,7.21975375251354,SOLUSDT,-0.011389249860639161,-0.0728756328422755,0.0036903855969284693,-0.02383847574277076,-0.394565770780237
BNBUSDT,13,0.18550631969433626,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.35752268277389554,1.5765035216792957,-0.24545888366601076,1.4565481494667227,0.2075242783458827,7.054891443996081,BNBUSDT,-0.016304159972649446,-0.0467503740930606,0.0041619425977735824,-0.04103059162560574,-0.559428079297696
BTCUSDT,13,0.1827293761349248,"ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3703574841105677,1.5957731175878977,-0.26187208587516075,1.4142686604906944,0.21140598981670375,7.4922479995769224,BTCUSDT,-0.0034693586359773043,-0.0274807781844586,-0.012251259611376408,-0.08331008060163403,-0.12207152371685481
