pool,n_symbols,avg_exposure,symbols,mode,cagr,sharpe,mdd,calmar,vol,final,removed_a,removed_b,removed_pair,is_ltc_aave_pair,delta_cagr,delta_sharpe,delta_mdd,delta_calmar,delta_final,rank_by_calmar,rank_by_cagr,rank_by_sharpe
XRPUSDT+DOGEUSDT,12,0.19813882974183056,"BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3743524087631571,1.6324660660226413,-0.19049919643542712,1.9651127971558142,0.20800187484843155,7.632957388669165,XRPUSDT,DOGEUSDT,XRPUSDT+DOGEUSDT,False,0.0005255660166121334,0.009212170250284979,0.059121629828357225,0.46753405606348575,0.018637865375387364,1,39,22
DOGEUSDT+AAVEUSDT,12,0.20077120866915285,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, UNIUSDT",gross,0.40401539312901225,1.6988666263049046,-0.21169202229331707,1.908505520199599,0.21307523030160622,8.749206918367122,DOGEUSDT,AAVEUSDT,DOGEUSDT+AAVEUSDT,False,0.03018855038246726,0.07561273053254824,0.03792880397046727,0.4109267791072706,1.1348873950733447,2,12,11
XRPUSDT+AAVEUSDT,12,0.19767837349610884,"BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, UNIUSDT",gross,0.3955451562931256,1.6869699241087999,-0.20815968707772237,1.9002005712347054,0.21069319118393048,8.417269723387479,XRPUSDT,AAVEUSDT,XRPUSDT+AAVEUSDT,False,0.021718313546580603,0.06371602833644352,0.04146113918606198,0.40262183014237696,0.8029502000937017,3,18,13
DOGEUSDT+LTCUSDT,12,0.19879097599245207,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, AAVEUSDT, UNIUSDT",gross,0.4212232220189247,1.7682867636856214,-0.22397430641055394,1.880676532810891,0.21137488366125629,9.45766505846047,DOGEUSDT,LTCUSDT,DOGEUSDT+LTCUSDT,False,0.04739637927237972,0.14503286791326508,0.02564651985323041,0.3830977917185625,1.8433455351666934,4,4,2
XRPUSDT+LTCUSDT,12,0.19569814081940812,"BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, AAVEUSDT, UNIUSDT",gross,0.41245679676904334,1.7517650137550824,-0.2205687119070563,1.8699696489266586,0.2096274815175037,9.09093250270723,XRPUSDT,LTCUSDT,XRPUSDT+LTCUSDT,False,0.03862995402249836,0.12851111798272608,0.029052114356728054,0.37239090783433015,1.476612979413452,5,7,5
LTCUSDT+AAVEUSDT,12,0.19833051974673038,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, UNIUSDT",gross,0.44320758754379197,1.8224768241576559,-0.24097255161531494,1.8392451114155195,0.21380161227373926,10.432653668574654,LTCUSDT,AAVEUSDT,LTCUSDT+AAVEUSDT,True,0.06938074479724698,0.19922292838529954,0.0086482746484694,0.341666370323191,2.8183341452808763,6,1,1
DOGEUSDT+LINKUSDT,12,0.19984042499948768,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, BNBUSDT, TRXUSDT, ADAUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3826455174957113,1.6310941384269868,-0.2177336846262946,1.7574015621536085,0.2124281965899344,7.932186423732379,DOGEUSDT,LINKUSDT,DOGEUSDT+LINKUSDT,False,0.008818674749166311,0.007840242654630458,0.031887141637489735,0.2598228210612801,0.31786690043860144,7,28,23
XRPUSDT+LINKUSDT,12,0.19674758982644372,"BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3743098633180111,1.6186719987997304,-0.21431385216542342,1.7465500224833381,0.21000985106104988,7.631447192264655,XRPUSDT,LINKUSDT,XRPUSDT+LINKUSDT,False,0.00048302057146609734,-0.0045818969726258985,0.03530697409836092,0.24897128139100966,0.01712766897087814,8,40,29
LINKUSDT+AAVEUSDT,12,0.19937996875376598,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, UNIUSDT",gross,0.4038558954182956,1.68212357558303,-0.23491226302306178,1.719177578135409,0.21542261575610042,8.74285594716998,LINKUSDT,AAVEUSDT,LINKUSDT+AAVEUSDT,False,0.0300290526717506,0.05886967981067359,0.01470856324072256,0.2215988370430806,1.128536423876203,9,14,15
LINKUSDT+LTCUSDT,12,0.19739973607706524,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, AVAXUSDT, NEARUSDT, AAVEUSDT, UNIUSDT",gross,0.42121341371135945,1.7546624459788234,-0.24686677651057198,1.706237751653557,0.21323330469441965,9.457247872673092,LINKUSDT,LTCUSDT,LINKUSDT+LTCUSDT,False,0.04738657096481447,0.13140855020646702,0.002754049753212362,0.2086590105612285,1.8429283493793145,10,5,4
