policy,policy_label,pool,label,period,period_label,start,end,days,cagr,sharpe,mdd,calmar,vol,final
cash_slots,Cash slots,BTC_ONLY,BTC only,FULL,2020-2026,2020-01-01,2026-05-22,2334,0.3802777338423915,1.2282071566851032,-0.2677827040140419,1.4200981920865605,0.29831737878965126,7.845761035462981
cash_slots,Cash slots,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,FULL,2020-2026,2020-01-01,2026-05-22,2334,0.4785795596125144,1.6322580336433512,-0.2676392028048973,1.7881519396147199,0.26013180457058166,12.178956626939472
cash_slots,Cash slots,POOL12_DROP_LTC_AAVE,12 coin pool,FULL,2020-2026,2020-01-01,2026-05-22,2334,0.44320758754379197,1.8224768241576559,-0.24097255161531494,1.8392451114155195,0.21380161227373926,10.432653668574654
cash_slots,Cash slots,BTC_ONLY,BTC only,2020,2020,2020-01-01,2020-12-31,366,1.728246681558228,2.627792949753221,-0.17427386567848346,9.916843669185932,0.4134695551557077,2.728246681558228
cash_slots,Cash slots,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2020,2020,2020-01-01,2020-12-31,366,0.8140132271400553,2.344341853900907,-0.14178136171150568,5.7413274729043415,0.2691017255375163,1.8140132271400553
cash_slots,Cash slots,POOL12_DROP_LTC_AAVE,12 coin pool,2020,2020,2020-01-01,2020-12-31,366,0.6471415424037117,2.4129592639106945,-0.10068963288150135,6.427092083703528,0.21601204814921096,1.6471415424037117
cash_slots,Cash slots,BTC_ONLY,BTC only,2021,2021,2021-01-01,2021-12-31,365,0.22673699300137962,0.7474810040349302,-0.2643628595239287,0.8576734016635065,0.35850030903470514,1.2260503543764343
cash_slots,Cash slots,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2021,2021,2021-01-01,2021-12-31,365,2.651622889690203,3.280977018578398,-0.13042039580959086,20.331351344474356,0.4204627963252181,3.6386883761289015
cash_slots,Cash slots,POOL12_DROP_LTC_AAVE,12 coin pool,2021,2021,2021-01-01,2021-12-31,365,1.9349140197553973,3.5990417920218074,-0.11671009061998128,16.578806592273622,0.31217492507027456,2.9262693573628353
cash_slots,Cash slots,BTC_ONLY,BTC only,2022_2023,2022-2023,2022-01-01,2023-12-31,730,0.2279221901921069,1.0445930086704485,-0.11591813779308191,1.9662340556139395,0.21888281296473794,1.5069449648808904
cash_slots,Cash slots,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2022_2023,2022-2023,2022-01-01,2023-12-31,730,0.11713849068866056,0.7011454989204252,-0.22024823434531215,0.5318475811479475,0.18118500956170036,1.247619721271193
cash_slots,Cash slots,POOL12_DROP_LTC_AAVE,12 coin pool,2022_2023,2022-2023,2022-01-01,2023-12-31,730,0.14336161381629986,0.9271284412370925,-0.17013539621447027,0.8426324974467996,0.15767815755883827,1.3067960343675709
cash_slots,Cash slots,BTC_ONLY,BTC only,2024_2026,2024-2026,2024-01-01,2026-05-22,873,0.2034497936066253,0.8222542476098403,-0.2677827040140418,0.7597570364214298,0.2685658729740358,1.5564878745996704
cash_slots,Cash slots,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2024_2026,2024-2026,2024-01-01,2026-05-22,873,0.17796993260871252,0.8563643712692048,-0.23561013695280209,0.7553577062109337,0.2191788337521616,1.4789127049405462
cash_slots,Cash slots,POOL12_DROP_LTC_AAVE,12 coin pool,2024_2026,2024-2026,2024-01-01,2026-05-22,873,0.23517336072402184,1.1495702152687663,-0.20177657861786924,1.1655136702927273,0.20114511926810089,1.6563105277386043
cash_slots,Cash slots,BTC_ONLY,BTC only,POST_2021,2022-2026,2022-01-01,2026-05-22,1603,0.2143846512771248,0.9080578188541233,-0.2677827040140418,0.8005918532583159,0.24710751069230943,2.3455415655261325
cash_slots,Cash slots,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,POST_2021,2022-2026,2022-01-01,2026-05-22,1603,0.14977043466025308,0.7896776893398548,-0.23561013695280209,0.6356705895479167,0.20270632807083208,1.8451206567223482
cash_slots,Cash slots,POOL12_DROP_LTC_AAVE,12 coin pool,POST_2021,2022-2026,2022-01-01,2026-05-22,1603,0.19235647118298838,1.0542494608078365,-0.2017765786178698,0.9533141680793316,0.18259662852578118,2.164460029330069
common_sample,Common sample,BTC_ONLY,BTC only,FULL,2020-2026,2020-01-01,2026-05-22,2334,0.3802777338423915,1.2282071566851032,-0.2677827040140419,1.4200981920865605,0.29831737878965126,7.845761035462981
common_sample,Common sample,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,FULL,2020-2026,2020-08-11,2026-05-22,2111,0.4640620879459729,1.5673659020818074,-0.26763920280489706,1.7339092445446556,0.2654697074713851,9.058785067115048
common_sample,Common sample,POOL12_DROP_LTC_AAVE,12 coin pool,FULL,2020-2026,2020-10-14,2026-05-22,2047,0.43298975240898585,1.7679397558673904,-0.24097255161531572,1.7968426258780001,0.21671495086759107,7.5130694030970835
common_sample,Common sample,BTC_ONLY,BTC only,2020,2020,2020-01-01,2020-12-31,366,1.728246681558228,2.627792949753221,-0.17427386567848346,9.916843669185932,0.4134695551557077,2.728246681558228
common_sample,Common sample,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2020,2020,2020-08-11,2020-12-31,143,1.159796322311979,2.3729047208579575,-0.14178136171150557,8.180174800915749,0.3484491492944274,1.3492745262937196
common_sample,Common sample,POOL12_DROP_LTC_AAVE,12 coin pool,2020,2020,2020-10-14,2020-12-31,79,1.2233124368144739,2.887446807443358,-0.10068963288150123,12.149338534724379,0.2876505367420612,1.1861880129386315
common_sample,Common sample,BTC_ONLY,BTC only,2021,2021,2021-01-01,2021-12-31,365,0.22673699300137962,0.7474810040349302,-0.2643628595239287,0.8576734016635065,0.35850030903470514,1.2260503543764343
common_sample,Common sample,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2021,2021,2021-01-01,2021-12-31,365,2.651622889690203,3.280977018578398,-0.13042039580959086,20.331351344474356,0.4204627963252181,3.6386883761289015
common_sample,Common sample,POOL12_DROP_LTC_AAVE,12 coin pool,2021,2021,2021-01-01,2021-12-31,365,1.9349140197553973,3.5990417920218074,-0.11671009061998128,16.578806592273622,0.31217492507027456,2.9262693573628353
common_sample,Common sample,BTC_ONLY,BTC only,2022_2023,2022-2023,2022-01-01,2023-12-31,730,0.2279221901921069,1.0445930086704485,-0.11591813779308191,1.9662340556139395,0.21888281296473794,1.5069449648808904
common_sample,Common sample,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2022_2023,2022-2023,2022-01-01,2023-12-31,730,0.11713849068866056,0.7011454989204252,-0.22024823434531215,0.5318475811479475,0.18118500956170036,1.247619721271193
common_sample,Common sample,POOL12_DROP_LTC_AAVE,12 coin pool,2022_2023,2022-2023,2022-01-01,2023-12-31,730,0.14336161381629986,0.9271284412370925,-0.17013539621447027,0.8426324974467996,0.15767815755883827,1.3067960343675709
common_sample,Common sample,BTC_ONLY,BTC only,2024_2026,2024-2026,2024-01-01,2026-05-22,873,0.2034497936066253,0.8222542476098403,-0.2677827040140418,0.7597570364214298,0.2685658729740358,1.5564878745996704
common_sample,Common sample,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2024_2026,2024-2026,2024-01-01,2026-05-22,873,0.17796993260871252,0.8563643712692048,-0.23561013695280209,0.7553577062109337,0.2191788337521616,1.4789127049405462
common_sample,Common sample,POOL12_DROP_LTC_AAVE,12 coin pool,2024_2026,2024-2026,2024-01-01,2026-05-22,873,0.23517336072402184,1.1495702152687663,-0.20177657861786924,1.1655136702927273,0.20114511926810089,1.6563105277386043
common_sample,Common sample,BTC_ONLY,BTC only,POST_2021,2022-2026,2022-01-01,2026-05-22,1603,0.2143846512771248,0.9080578188541233,-0.2677827040140418,0.8005918532583159,0.24710751069230943,2.3455415655261325
common_sample,Common sample,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,POST_2021,2022-2026,2022-01-01,2026-05-22,1603,0.14977043466025308,0.7896776893398548,-0.23561013695280209,0.6356705895479167,0.20270632807083208,1.8451206567223482
common_sample,Common sample,POOL12_DROP_LTC_AAVE,12 coin pool,POST_2021,2022-2026,2022-01-01,2026-05-22,1603,0.19235647118298838,1.0542494608078365,-0.2017765786178698,0.9533141680793316,0.18259662852578118,2.164460029330069
dynamic_eligible,Dynamic eligible,BTC_ONLY,BTC only,FULL,2020-2026,2020-01-01,2026-05-22,2334,0.3802777338423915,1.2282071566851032,-0.2677827040140419,1.4200981920865605,0.29831737878965126,7.845761035462981
dynamic_eligible,Dynamic eligible,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,FULL,2020-2026,2020-01-01,2026-05-22,2334,0.500266417784667,1.6569457846183853,-0.2676392028048983,1.8691821397680206,0.26596636174129995,13.366869996204404
dynamic_eligible,Dynamic eligible,POOL12_DROP_LTC_AAVE,12 coin pool,FULL,2020-2026,2020-01-01,2026-05-22,2334,0.47923517965185236,1.848834178708845,-0.24097255161531694,1.9887542229991921,0.22547062494896838,12.213515427245262
dynamic_eligible,Dynamic eligible,BTC_ONLY,BTC only,2020,2020,2020-01-01,2020-12-31,366,1.728246681558228,2.627792949753221,-0.17427386567848346,9.916843669185932,0.4134695551557077,2.728246681558228
dynamic_eligible,Dynamic eligible,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2020,2020,2020-01-01,2020-12-31,366,0.990948791536153,2.419562941217262,-0.1417813617115058,6.98927404543143,0.3031418138302519,1.990948791536153
dynamic_eligible,Dynamic eligible,POOL12_DROP_LTC_AAVE,12 coin pool,2020,2020,2020-01-01,2020-12-31,366,0.9283098316205189,2.468203934892905,-0.12535613015486813,7.405380418761025,0.2814773117970703,1.928309831620519
dynamic_eligible,Dynamic eligible,BTC_ONLY,BTC only,2021,2021,2021-01-01,2021-12-31,365,0.22673699300137962,0.7474810040349302,-0.2643628595239287,0.8576734016635065,0.35850030903470514,1.2260503543764343
dynamic_eligible,Dynamic eligible,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2021,2021,2021-01-01,2021-12-31,365,2.651622889690203,3.280977018578398,-0.13042039580959086,20.331351344474356,0.4204627963252181,3.6386883761289015
dynamic_eligible,Dynamic eligible,POOL12_DROP_LTC_AAVE,12 coin pool,2021,2021,2021-01-01,2021-12-31,365,1.9349140197553973,3.5990417920218074,-0.11671009061998128,16.578806592273622,0.31217492507027456,2.9262693573628353
dynamic_eligible,Dynamic eligible,BTC_ONLY,BTC only,2022_2023,2022-2023,2022-01-01,2023-12-31,730,0.2279221901921069,1.0445930086704485,-0.11591813779308191,1.9662340556139395,0.21888281296473794,1.5069449648808904
dynamic_eligible,Dynamic eligible,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2022_2023,2022-2023,2022-01-01,2023-12-31,730,0.11713849068866056,0.7011454989204252,-0.22024823434531215,0.5318475811479475,0.18118500956170036,1.247619721271193
